id,departamento,campana,PP
1,CORONEL SUAREZ,1973/74,NA
2,CORONEL SUAREZ,1975/76,114.83
3,CORONEL SUAREZ,1976/77,461.51
4,CORONEL SUAREZ,1977/78,504.69
5,CORONEL SUAREZ,1978/79,274.07
6,CORONEL SUAREZ,1979/80,212.6
7,CORONEL SUAREZ,1983/84,198.12
8,CORONEL SUAREZ,1984/85,1.02
9,CORONEL SUAREZ,1985/86,0
10,CORONEL SUAREZ,1987/88,NA
11,CORONEL SUAREZ,1988/89,192.78
12,CORONEL SUAREZ,1989/90,312.39
13,CORONEL SUAREZ,1990/91,185.41
14,CORONEL SUAREZ,1991/92,NA
15,CORONEL SUAREZ,1992/93,NA
16,CORONEL SUAREZ,1993/94,NA
17,CORONEL SUAREZ,1994/95,NA
18,CORONEL SUAREZ,1995/96,NA
19,CORONEL SUAREZ,1996/97,NA
20,CORONEL SUAREZ,1997/98,NA
21,CORONEL SUAREZ,1998/99,NA
22,CORONEL SUAREZ,1999/00,NA
23,CORONEL SUAREZ,2000/01,NA
24,CORONEL SUAREZ,2001/02,NA
25,CORONEL SUAREZ,2002/03,NA
26,CORONEL SUAREZ,2003/04,NA
27,CORONEL SUAREZ,2004/05,NA
28,CORONEL SUAREZ,2005/06,NA
29,CORONEL SUAREZ,2006/07,NA
30,CORONEL SUAREZ,2007/08,NA
31,CORONEL SUAREZ,2008/09,NA
32,CORONEL SUAREZ,2009/10,NA
33,CORONEL SUAREZ,2010/11,NA
34,CORONEL SUAREZ,2011/12,NA
35,CORONEL SUAREZ,2012/13,NA
36,CORONEL SUAREZ,2013/14,NA
37,CORONEL SUAREZ,2014/15,NA
38,CORONEL SUAREZ,2015/16,NA
229,CORONEL SUAREZ,1969/70,NA
230,CORONEL SUAREZ,1970/71,NA
231,CORONEL SUAREZ,1971/72,NA
232,CORONEL SUAREZ,1972/73,NA
234,CORONEL SUAREZ,1974/75,NA
240,CORONEL SUAREZ,1980/81,287.28
241,CORONEL SUAREZ,1981/82,204.71
242,CORONEL SUAREZ,1982/83,NA
246,CORONEL SUAREZ,1986/87,160
558,CORONEL SUAREZ,2016/17,NA
799,JUNIN,1972/73,NA
800,JUNIN,1973/74,578.91
801,JUNIN,1974/75,407.66
802,JUNIN,1975/76,501.14
803,JUNIN,1976/77,756.41
804,JUNIN,1977/78,703.08
